number	type	latency	urevent
1.000000	1	3095.000000	1.000000
2.000000	2	4898.000000	2.000000
3.000000	3	6712.000000	3.000000
4.000000	4	8858.000000	4.000000
5.000000	5	10740.000000	5.000000
6.000000	6	12652.000000	6.000000
7.000000	7	14728.000000	7.000000
8.000000	8	16663.000000	8.000000
9.000000	boundary	17961.000000	9.000000
10.000000	9	18535.000000	10.000000
11.000000	10	20490.000000	11.000000
12.000000	11	22467.000000	12.000000
13.000000	12	24306.000000	13.000000
14.000000	13	26303.000000	14.000000
15.000000	14	28137.000000	15.000000
16.000000	15	30279.000000	16.000000
17.000000	16	32110.000000	17.000000
18.000000	17	34034.000000	18.000000
19.000000	18	36205.000000	19.000000
20.000000	19	38159.000000	20.000000
21.000000	20	40279.000000	21.000000
22.000000	21	42216.000000	22.000000
23.000000	22	44302.000000	23.000000
24.000000	23	46445.000000	24.000000
25.000000	24	48538.000000	25.000000
26.000000	25	50466.000000	26.000000
27.000000	26	52338.000000	27.000000
28.000000	27	54275.000000	28.000000
29.000000	28	56267.000000	29.000000
30.000000	29	58172.000000	30.000000
31.000000	30	60308.000000	31.000000
32.000000	31	62226.000000	32.000000
33.000000	32	64225.000000	33.000000
34.000000	33	66090.000000	34.000000
35.000000	34	68245.000000	35.000000
36.000000	35	70166.000000	36.000000
37.000000	36	72282.000000	37.000000
38.000000	37	74479.000000	38.000000
39.000000	38	76482.000000	39.000000
40.000000	39	78644.000000	40.000000
41.000000	40	80780.000000	41.000000
42.000000	41	82595.000000	42.000000
43.000000	42	84457.000000	43.000000
44.000000	43	86320.000000	44.000000
45.000000	44	88328.000000	45.000000
46.000000	45	90142.000000	46.000000
47.000000	46	92185.000000	47.000000
48.000000	47	93995.000000	48.000000
49.000000	48	96110.000000	49.000000
50.000000	49	98176.000000	50.000000
51.000000	50	100295.000000	51.000000
52.000000	51	102384.000000	52.000000
53.000000	52	104413.000000	53.000000
54.000000	53	106301.000000	54.000000
55.000000	54	108379.000000	55.000000
56.000000	55	110422.000000	56.000000
57.000000	56	112610.000000	57.000000
58.000000	57	114674.000000	58.000000
59.000000	58	116879.000000	59.000000
60.000000	59	118783.000000	60.000000
61.000000	60	120860.000000	61.000000
62.000000	61	122784.000000	62.000000
63.000000	62	124624.000000	63.000000
64.000000	63	126740.000000	64.000000
65.000000	64	128745.000000	65.000000
66.000000	65	130904.000000	66.000000
67.000000	66	132914.000000	67.000000
68.000000	67	134948.000000	68.000000
69.000000	68	137136.000000	69.000000
70.000000	69	139215.000000	70.000000
71.000000	70	141157.000000	71.000000
72.000000	71	142968.000000	72.000000
73.000000	72	145057.000000	73.000000
74.000000	73	147257.000000	74.000000
75.000000	74	149373.000000	75.000000
76.000000	75	151479.000000	76.000000
77.000000	76	153364.000000	77.000000
78.000000	77	155228.000000	78.000000
79.000000	78	157399.000000	79.000000
80.000000	79	159519.000000	80.000000
81.000000	80	161561.000000	81.000000
82.000000	81	163717.000000	82.000000
83.000000	82	165799.000000	83.000000
84.000000	83	167720.000000	84.000000
85.000000	84	169564.000000	85.000000
86.000000	85	171623.000000	86.000000
87.000000	86	173541.000000	87.000000
88.000000	87	175697.000000	88.000000
89.000000	88	177568.000000	89.000000
90.000000	89	179484.000000	90.000000
91.000000	90	181507.000000	91.000000
92.000000	91	183698.000000	92.000000
93.000000	92	185573.000000	93.000000
94.000000	93	187441.000000	94.000000
95.000000	94	189355.000000	95.000000
96.000000	95	191231.000000	96.000000
97.000000	96	193267.000000	97.000000
98.000000	97	195273.000000	98.000000
99.000000	98	197193.000000	99.000000
100.000000	99	199062.000000	100.000000
101.000000	100	201112.000000	101.000000
