number	type	latency	urevent
1.000000	1	2975.000000	1.000000
2.000000	2	4778.000000	2.000000
3.000000	3	6596.000000	3.000000
4.000000	4	8742.000000	4.000000
5.000000	5	10629.000000	5.000000
6.000000	6	12539.000000	6.000000
7.000000	7	14610.000000	7.000000
8.000000	8	16539.000000	8.000000
9.000000	9	18408.000000	9.000000
10.000000	10	20358.000000	10.000000
11.000000	11	22333.000000	11.000000
12.000000	12	24167.000000	12.000000
13.000000	13	26162.000000	13.000000
14.000000	14	28001.000000	14.000000
15.000000	15	30151.000000	15.000000
16.000000	16	31984.000000	16.000000
17.000000	17	33911.000000	17.000000
18.000000	18	36090.000000	18.000000
19.000000	19	38046.000000	19.000000
20.000000	20	40169.000000	20.000000
21.000000	21	42110.000000	21.000000
22.000000	22	44200.000000	22.000000
23.000000	23	46346.000000	23.000000
24.000000	24	48447.000000	24.000000
25.000000	25	50379.000000	25.000000
26.000000	26	52257.000000	26.000000
27.000000	27	54198.000000	27.000000
28.000000	28	56198.000000	28.000000
29.000000	29	58105.000000	29.000000
30.000000	30	60248.000000	30.000000
31.000000	31	62174.000000	31.000000
32.000000	32	64175.000000	32.000000
33.000000	33	66045.000000	33.000000
34.000000	34	68207.000000	34.000000
35.000000	35	70131.000000	35.000000
36.000000	36	72254.000000	36.000000
37.000000	37	74454.000000	37.000000
38.000000	38	76461.000000	38.000000
39.000000	39	78629.000000	39.000000
40.000000	40	80769.000000	40.000000
41.000000	41	82590.000000	41.000000
42.000000	boundary	83401.000000	42.000000
43.000000	42	84456.000000	43.000000
44.000000	43	86323.000000	44.000000
45.000000	44	88337.000000	45.000000
46.000000	45	90155.000000	46.000000
47.000000	46	92205.000000	47.000000
48.000000	47	94018.000000	48.000000
49.000000	48	96140.000000	49.000000
50.000000	49	98210.000000	50.000000
51.000000	50	100328.000000	51.000000
52.000000	51	102422.000000	52.000000
53.000000	52	104456.000000	53.000000
54.000000	53	106349.000000	54.000000
55.000000	54	108434.000000	55.000000
56.000000	55	110481.000000	56.000000
57.000000	56	112677.000000	57.000000
58.000000	57	114743.000000	58.000000
59.000000	58	116956.000000	59.000000
60.000000	59	118862.000000	60.000000
61.000000	60	120946.000000	61.000000
62.000000	61	122878.000000	62.000000
63.000000	62	124723.000000	63.000000
64.000000	63	126841.000000	64.000000
65.000000	64	128853.000000	65.000000
66.000000	65	131018.000000	66.000000
67.000000	66	133030.000000	67.000000
68.000000	67	135069.000000	68.000000
69.000000	68	137260.000000	69.000000
70.000000	69	139346.000000	70.000000
71.000000	70	141292.000000	71.000000
72.000000	71	143109.000000	72.000000
73.000000	72	145200.000000	73.000000
74.000000	73	147404.000000	74.000000
75.000000	74	149526.000000	75.000000
76.000000	75	151635.000000	76.000000
77.000000	76	153526.000000	77.000000
78.000000	77	155393.000000	78.000000
79.000000	78	157571.000000	79.000000
80.000000	79	159694.000000	80.000000
81.000000	80	161742.000000	81.000000
82.000000	boundary	162321.000000	82.000000
83.000000	81	163896.000000	83.000000
84.000000	82	165982.000000	84.000000
85.000000	83	167911.000000	85.000000
86.000000	84	169758.000000	86.000000
87.000000	85	171823.000000	87.000000
88.000000	86	173745.000000	88.000000
89.000000	87	175909.000000	89.000000
90.000000	88	177782.000000	90.000000
91.000000	89	179701.000000	91.000000
92.000000	90	181731.000000	92.000000
93.000000	91	183925.000000	93.000000
94.000000	boundary	185001.000000	94.000000
95.000000	92	185808.000000	95.000000
96.000000	93	187684.000000	96.000000
97.000000	94	189601.000000	97.000000
98.000000	95	191481.000000	98.000000
99.000000	96	193524.000000	99.000000
100.000000	97	195533.000000	100.000000
101.000000	98	197457.000000	101.000000
102.000000	99	199332.000000	102.000000
103.000000	100	204050.000000	103.000000
