number	type	latency	urevent
1.000000	1	2368.000000	1.000000
2.000000	2	4277.000000	2.000000
3.000000	3	6391.000000	3.000000
4.000000	4	8441.000000	4.000000
5.000000	5	10403.000000	5.000000
6.000000	6	12434.000000	6.000000
7.000000	7	14497.000000	7.000000
8.000000	8	16675.000000	8.000000
9.000000	9	18688.000000	9.000000
10.000000	10	20678.000000	10.000000
11.000000	11	22800.000000	11.000000
12.000000	12	24685.000000	12.000000
13.000000	13	26557.000000	13.000000
14.000000	14	28681.000000	14.000000
15.000000	15	30497.000000	15.000000
16.000000	16	32659.000000	16.000000
17.000000	17	34806.000000	17.000000
18.000000	18	36797.000000	18.000000
19.000000	19	38855.000000	19.000000
20.000000	20	40762.000000	20.000000
21.000000	21	42837.000000	21.000000
22.000000	22	44950.000000	22.000000
23.000000	23	46902.000000	23.000000
24.000000	24	48795.000000	24.000000
25.000000	25	50799.000000	25.000000
26.000000	26	52645.000000	26.000000
27.000000	27	54507.000000	27.000000
28.000000	28	56559.000000	28.000000
29.000000	29	58710.000000	29.000000
30.000000	30	60828.000000	30.000000
31.000000	31	62755.000000	31.000000
32.000000	32	64831.000000	32.000000
33.000000	33	66679.000000	33.000000
34.000000	34	68512.000000	34.000000
35.000000	35	70652.000000	35.000000
36.000000	36	72829.000000	36.000000
37.000000	37	74850.000000	37.000000
38.000000	38	76887.000000	38.000000
39.000000	39	79071.000000	39.000000
40.000000	40	81260.000000	40.000000
41.000000	41	83422.000000	41.000000
42.000000	42	85578.000000	42.000000
43.000000	43	87655.000000	43.000000
44.000000	44	89717.000000	44.000000
45.000000	45	91626.000000	45.000000
46.000000	46	93709.000000	46.000000
47.000000	47	95799.000000	47.000000
48.000000	48	97947.000000	48.000000
49.000000	49	99862.000000	49.000000
50.000000	50	101734.000000	50.000000
51.000000	51	103704.000000	51.000000
52.000000	52	105817.000000	52.000000
53.000000	53	107729.000000	53.000000
54.000000	54	109591.000000	54.000000
55.000000	55	111680.000000	55.000000
56.000000	56	113554.000000	56.000000
57.000000	57	115598.000000	57.000000
58.000000	58	117497.000000	58.000000
59.000000	59	119511.000000	59.000000
60.000000	60	121515.000000	60.000000
61.000000	61	123511.000000	61.000000
62.000000	62	125472.000000	62.000000
63.000000	63	127558.000000	63.000000
64.000000	64	129557.000000	64.000000
65.000000	65	131722.000000	65.000000
66.000000	66	133912.000000	66.000000
67.000000	67	135993.000000	67.000000
68.000000	68	138039.000000	68.000000
69.000000	69	140067.000000	69.000000
70.000000	70	142148.000000	70.000000
71.000000	71	144179.000000	71.000000
72.000000	72	146275.000000	72.000000
73.000000	73	148394.000000	73.000000
74.000000	74	150207.000000	74.000000
75.000000	75	152353.000000	75.000000
76.000000	76	154427.000000	76.000000
77.000000	77	156244.000000	77.000000
78.000000	78	158319.000000	78.000000
79.000000	79	160312.000000	79.000000
80.000000	80	162338.000000	80.000000
81.000000	81	164254.000000	81.000000
82.000000	82	166216.000000	82.000000
83.000000	83	168339.000000	83.000000
84.000000	84	170198.000000	84.000000
85.000000	85	172190.000000	85.000000
86.000000	86	174108.000000	86.000000
87.000000	87	176082.000000	87.000000
88.000000	88	178105.000000	88.000000
89.000000	89	180249.000000	89.000000
90.000000	90	182132.000000	90.000000
91.000000	91	184071.000000	91.000000
92.000000	92	185926.000000	92.000000
93.000000	93	188039.000000	93.000000
94.000000	94	190247.000000	94.000000
95.000000	95	192251.000000	95.000000
96.000000	96	194140.000000	96.000000
97.000000	97	196100.000000	97.000000
98.000000	98	198239.000000	98.000000
99.000000	99	200065.000000	99.000000
100.000000	100	201922.000000	100.000000
